Team,Name,Position,Height,Weight,Age,PTS,TRB,AST,FG%,FG3%,FT%
Atlanta Hawks,Bogdan Bogdanovic,Shooting Guard,6-6,220,29,14.2,3.4,3.4,43.9,38.4,82.2
Atlanta Hawks,Chaundee Brown,Small Forward,6-5,215,23,6.2,3.2,0.8,31.3,33.3,83.3
Atlanta Hawks,Clint Capela,Center,6-10,240,28,12.4,10.7,1.0,62.4,0.0,52.7
Atlanta Hawks,John Collins,Power Forward,6-9,235,24,16.5,8.3,1.6,55.9,37.6,77.9
Atlanta Hawks,Sharife Cooper,Point Guard,6-1,180,21,0.5,0.4,0.4,21.4,16.7,-
Atlanta Hawks,Gorgui Dieng,Center,6-10,252,32,7.5,5.7,1.3,50.0,36.7,79.1
Atlanta Hawks,Danilo Gallinari,Small Forward,6-10,233,33,15.6,4.8,1.9,42.8,38.2,87.7
Atlanta Hawks,Kevin Huerter,Shooting Guard,6-7,190,23,11.4,3.5,3.2,43.1,37.9,78.8
Atlanta Hawks,De'Andre Hunter,Small Forward,6-8,225,24,13.2,4.1,1.6,43.4,35.9,78.5
Atlanta Hawks,Jalen Johnson,Power Forward,6-9,220,20,2.4,1.2,0.1,53.7,23.1,71.4
Atlanta Hawks,Kevin Knox,Small Forward,6-7,215,22,7.7,2.9,0.8,36.9,34.0,70.5
Atlanta Hawks,Timothe Luwawu-Cabarrot,Small Forward,6-7,220,27,5.9,2.0,0.9,39.1,33.5,82.9
Atlanta Hawks,Skylar Mays,Shooting Guard,6-4,205,24,3.3,1.0,0.8,46.9,33.8,88.2
Atlanta Hawks,Onyeka Okongwu,Center,6-8,235,21,6.3,4.6,0.7,67.2,0.0,69.5
Atlanta Hawks,Lou Williams,Point Guard,6-1,175,35,13.9,2.2,3.4,41.9,35.1,84.2
Atlanta Hawks,Delon Wright,Point Guard,6-5,185,30,7.2,3.2,3.0,45.3,35.4,79.9
Atlanta Hawks,Trae Young,Point Guard,6-1,164,23,25.3,3.9,9.1,44.0,35.5,87.3
Boston Celtics,Jaylen Brown,Shooting Guard,6-6,223,25,16.5,4.9,2.0,47.3,37.3,71.2
Boston Celtics,Malik Fitts,Power Forward,6-8,230,24,1.3,1.1,0.3,40.9,50.0,-
Boston Celtics,Sam Hauser,Small Forward,6-8,215,24,2.5,1.1,0.4,46.0,43.2,-
Boston Celtics,Al Horford,Center,6-9,240,36,13.7,8.2,3.3,51.5,36.0,75.9
Boston Celtics,Luke Kornet,Center,7-2,250,26,5.5,2.6,1.0,40.8,32.4,75.3
Boston Celtics,Juwan Morgan,Power Forward,6-7,232,25,1.5,1.2,0.3,52.5,34.8,54.5
Boston Celtics,Aaron Nesmith,Small Forward,6-5,215,22,4.2,2.2,0.5,41.7,31.8,79.6
Boston Celtics,Payton Pritchard,Shooting Guard,6-1,195,24,6.9,2.1,1.9,43.5,41.2,92.4
Boston Celtics,Matt Ryan,Small Forward,6-7,215,25,3.0,0.0,0.0,20.0,20.0,-
Boston Celtics,Marcus Smart,Shooting Guard,6-3,220,28,10.5,3.6,4.5,38.2,32.1,78.0
Boston Celtics,Nik Stauskas,Shooting Guard,6-6,205,28,6.7,2.0,1.5,38.9,35.4,81.2
Boston Celtics,Jayson Tatum,Small Forward,6-8,210,24,20.9,6.6,3.0,45.6,38.3,84.4
Boston Celtics,Daniel Theis,Center,6-8,245,30,7.6,4.9,1.3,54.5,32.9,72.2
Boston Celtics,Brodric Thomas,Shooting Guard,6-5,185,25,3.3,1.4,0.9,37.3,26.5,66.7
Boston Celtics,Derrick White,Shooting Guard,6-4,190,27,11.5,3.3,3.8,44.2,34.0,83.8
Boston Celtics,Grant Williams,Power Forward,6-6,236,23,5.4,3.0,1.0,44.9,36.9,77.5
Boston Celtics,Robert Williams,Center,6-8,237,24,7.2,6.6,1.4,72.8,0.0,66.5
Brooklyn Nets,LaMarcus Aldridge,Power Forward,6-11,250,36,19.1,8.1,1.9,49.3,32.0,81.3
Brooklyn Nets,Bruce Brown,Point Guard,6-4,202,25,7.6,4.3,2.1,48.2,32.7,74.5
Brooklyn Nets,Nic Claxton,Center,6-11,215,23,7.3,5.0,0.9,64.6,16.7,53.9
Brooklyn Nets,Seth Curry,Shooting Guard,6-2,185,31,11.3,2.2,2.2,47.7,43.9,85.4
Brooklyn Nets,Goran Dragic,Point Guard,6-3,190,36,13.7,3.1,4.8,46.0,36.2,76.7
Brooklyn Nets,Andre Drummond,Center,6-10,279,28,13.8,13.3,1.4,54.0,13.2,47.3
Brooklyn Nets,David Duke,Point Guard,6-5,205,22,4.7,3.0,0.8,36.1,24.3,81.0
Brooklyn Nets,Kevin Durant,Small Forward,6-10,240,33,27.2,7.1,4.3,49.6,38.4,88.4
Brooklyn Nets,Kessler Edwards,Small Forward,6-8,215,21,5.9,3.6,0.6,41.2,35.3,84.2
Brooklyn Nets,Blake Griffin,Power Forward,6-9,250,33,19.8,8.2,4.1,49.3,32.7,69.6
Brooklyn Nets,Joe Harris,Shooting Guard,6-6,220,30,11.1,3.2,1.6,48.3,43.9,78.0
Brooklyn Nets,Kyrie Irving,Point Guard,6-2,195,30,23.1,3.8,5.7,47.0,39.3,88.2
Brooklyn Nets,Patty Mills,Point Guard,6-1,180,33,9.2,1.7,2.3,42.6,38.9,85.5
Brooklyn Nets,Day'Ron Sharpe,Power Forward,6-11,265,20,6.2,5.0,0.5,57.7,28.6,58.5
Brooklyn Nets,Ben Simmons,Point Guard,6-11,240,25,15.9,8.1,7.7,56.0,14.7,59.7
Brooklyn Nets,Cam Thomas,Shooting Guard,6-4,210,20,8.5,2.4,1.2,43.3,27.0,82.9
Chicago Bulls,Lonzo Ball,Point Guard,6-6,190,24,11.9,5.7,6.2,40.0,36.4,57.8
Chicago Bulls,Tony Bradley,Center,6-10,248,24,4.6,4.3,0.5,63.4,42.9,67.2
Chicago Bulls,Troy Brown,Small Forward,6-6,215,22,6.4,3.8,1.6,42.9,33.7,75.5
Chicago Bulls,Alex Caruso,Point Guard,6-4,186,28,6.2,2.5,2.7,42.2,36.6,73.6
Chicago Bulls,Tyler Cook,Power Forward,6-8,255,24,3.8,2.5,0.3,65.4,50.0,60.0
Chicago Bulls,DeMar DeRozan,Shooting Guard,6-6,220,32,20.8,4.4,3.9,46.5,28.8,83.7
Chicago Bulls,Ayo Dosunmu,Shooting Guard,6-5,200,22,8.8,2.8,3.3,52.0,37.6,67.9
Chicago Bulls,Javonte Green,Small Forward,6-4,205,28,5.0,2.9,0.7,52.8,33.5,77.5
Chicago Bulls,Malcolm Hill,Small Forward,6-6,220,26,3.8,1.8,0.4,46.2,36.1,78.6
Chicago Bulls,Derrick Jones,Small Forward,6-5,210,25,6.5,3.4,0.7,50.9,29.8,69.9
Chicago Bulls,Zach LaVine,Shooting Guard,6-5,200,27,19.8,3.9,3.9,46.1,38.6,83.0
Chicago Bulls,Marko Simonovic,Center,6-11,216,22,1.9,1.1,0.0,26.7,20.0,72.7
Chicago Bulls,Matt Thomas,Shooting Guard,6-4,190,27,4.0,1.2,0.5,43.3,40.4,80.4
Chicago Bulls,Tristan Thompson,Power Forward,Righ,6-,31,9.0,8.4,1.0,51.9,26.3,60.5
Chicago Bulls,Nikola Vucevic,Center,6-10,260,31,16.9,10.4,2.7,49.4,34.8,75.7
Chicago Bulls,Coby White,Point Guard,6-5,195,22,13.7,3.6,3.5,41.3,36.5,85.1
Chicago Bulls,Patrick Williams,Power Forward,6-7,215,20,9.2,4.5,1.3,49.0,41.3,72.9
Charlotte Hornets,LaMelo Ball,Point Guard,6-7,180,20,18.3,6.4,7.0,43.1,37.8,82.6
Charlotte Hornets,James Bouknight,Shooting Guard,6-5,190,21,4.6,1.7,0.8,34.8,34.7,87.1
Charlotte Hornets,Miles Bridges,Power Forward,6-6,225,24,13.4,5.6,2.3,47.3,34.6,80.9
Charlotte Hornets,Montrezl Harrell,Center,6-7,240,28,12.9,5.3,1.4,62.0,11.7,66.2
Charlotte Hornets,Gordon Hayward,Small Forward,6-7,225,32,15.6,4.5,3.5,45.3,37.1,82.6
Charlotte Hornets,Kai Jones,Center,6-11,218,21,1.0,0.5,0.2,64.3,50.0,37.5
Charlotte Hornets,Arnoldas Kulboka,Small Forward,6-9,198,24,0.0,0.0,0.0,0.0,0.0,-
Charlotte Hornets,Scottie Lewis,Shooting Guard,6-5,189,22,0.5,0.0,0.5,-,-,50.0
Charlotte Hornets,Cody Martin,Small Forward,6-5,205,26,5.8,3.5,2.1,46.0,32.3,66.0
Charlotte Hornets,Jalen McDaniels,Small Forward,6-9,205,24,6.6,3.4,1.1,47.5,35.9,73.2
Charlotte Hornets,Kelly Oubre,Small Forward,6-7,203,26,12.0,4.3,1.0,43.4,33.1,74.9
Charlotte Hornets,Mason Plumlee,Center,6-11,254,32,8.3,6.6,2.4,58.4,4.9,55.7
Charlotte Hornets,Nick Richards,Center,7-0,245,24,2.4,1.4,0.2,64.6,0.0,68.5
Charlotte Hornets,Terry Rozier,Point Guard,6-1,190,28,12.7,3.9,3.2,41.7,37.6,82.2
Charlotte Hornets,Isaiah Thomas,Point Guard,5-9,185,33,17.7,2.4,4.8,43.4,36.2,87.2
Charlotte Hornets,JT Thor,Power Forward,6-10,205,19,2.0,1.3,0.6,43.6,25.9,60.0
Charlotte Hornets,P.J. Washington,Power Forward,6-7,230,23,11.8,5.7,2.3,45.4,37.5,70.2
Cleveland Cavaliers,Jarrett Allen,Center,6-11,243,24,11.6,8.7,1.4,62.6,18.9,69.9
Cleveland Cavaliers,Moses Brown,Center,7-2,245,22,6.0,5.8,0.1,55.4,-,60.2
Cleveland Cavaliers,Ed Davis,Power Forward,6-9,218,33,5.9,6.4,0.7,56.7,0.0,58.3
Cleveland Cavaliers,Darius Garland,Point Guard,6-1,192,22,17.4,2.6,6.3,44.3,37.8,87.6
Cleveland Cavaliers,Brandon Goodwin,Point Guard,6-0,180,26,4.7,1.6,1.9,39.0,31.5,73.0
Cleveland Cavaliers,Caris LeVert,Shooting Guard,6-6,205,27,14.6,3.8,4.0,43.7,33.3,73.7
Cleveland Cavaliers,Kevin Love,Power Forward,6-8,251,33,17.6,10.7,2.4,44.1,37.3,82.9
Cleveland Cavaliers,Lauri Markkanen,Power Forward,7-0,240,25,15.4,6.8,1.3,44.1,36.4,85.0
Cleveland Cavaliers,Evan Mobley,Power Forward,7-0,215,20,15.0,8.3,2.5,50.8,25.0,66.3
Cleveland Cavaliers,RJ Nembhard,Shooting Guard,6-5,200,23,1.1,0.5,0.9,33.3,0.0,75.0
Cleveland Cavaliers,Isaac Okoro,Small Forward,6-5,225,21,9.2,3.0,1.9,44.6,31.5,74.7
Cleveland Cavaliers,Cedi Osman,Small Forward,6-7,230,27,10.0,3.2,2.1,42.3,34.9,71.8
Cleveland Cavaliers,Rajon Rondo,Point Guard,6-1,180,36,9.8,4.5,7.9,45.6,32.4,61.1
Cleveland Cavaliers,Collin Sexton,Shooting Guard,6-1,190,23,20.0,3.0,3.3,45.8,37.8,82.7
Cleveland Cavaliers,Lamar Stevens,Power Forward,6-6,230,24,5.3,2.5,0.7,47.9,24.4,71.4
